src,explanation_used,literal_used,final_translation,QE_final,QE_literal,QE_explanation,DA_final,DA_literal,DA_explanation,QE_final_gt_literal,DA_final_gt_literal
दिल लगाना और तोड़ना,to fall in and out of love,to attach the heart and break it,to fall in and out of love,-0.1640622913837433,-0.4833536446094513,-0.1640622913837433,0.976208508014679,0.5231741666793823,0.976208508014679,1.0,1.0
अंधे की भी आँख खुल गई,even the ignorant realized the truth,even the blind man’s eye opened,Even the blind could see it.,0.24987603724002838,0.5108079314231873,0.2294146865606308,0.698916494846344,0.7039005756378174,0.9800664782524109,0.0,0.0
आंखों का तारा,beloved person,the star of the eyes,the apple of my eye,-0.3764062225818634,-0.4496709704399109,-0.654050350189209,0.41773074865341187,0.4432169497013092,0.9837122559547424,1.0,0.0
दिल की बात कहना,to confide,to say the heart’s matter,to pour one's heart out,-1.1109262704849243,-0.6213715672492981,-0.8378123641014099,0.380910724401474,0.4972487986087799,0.9828684329986572,0.0,0.0
गले की फाँस,a nagging problem,a thorn in the throat,a pain in the neck.,-0.3360763490200043,-0.42360755801200867,-0.3134961426258087,0.5135747790336609,0.46584978699684143,0.9891915917396545,1.0,1.0
दिमाग घूम जाना,to get furious or confused,the mind spinning,to lose one's head,-0.7296784520149231,-0.38571247458457947,-0.5072539448738098,0.4514126479625702,0.477636456489563,0.9742116332054138,0.0,0.0
"अंधे का नाम सुना, आँखों से नहीं देखा",to hear about something but not experience it,"heard the name, not seen with the eyes","I've heard of it, but I've never seen it.",-0.12455172836780548,-0.07755106687545776,-0.16729041934013367,0.5614942908287048,0.582187831401825,0.9715831875801086,0.0,0.0
दिमाग पर पत्थर रखना,to force oneself against feelings,to place a stone on the brain,To steel oneself,-0.6458542943000793,-0.14099252223968506,-0.18164215981960297,0.571001410484314,0.504974901676178,0.970718264579773,0.0,1.0
दिल से दिल का रिश्ता,a close emotional connection,heart-to-heart relationship,a deep emotional bond,0.18150155246257782,-0.05112108215689659,-0.08797529339790344,0.8922931551933289,0.5932794213294983,0.9847343564033508,1.0,1.0
दिल का बोझ हल्का करना,to share feelings and feel relieved,to lighten the heart’s burden,Get it off your chest.,-0.25893434882164,0.21710416674613953,-0.30647018551826477,0.45354995131492615,0.6850767135620117,0.9783450961112976,0.0,0.0
बात पक्की होना,to agree on something or finalize a deal,for the matter to become firm,It's a done deal.,-0.030163854360580444,-0.6285024881362915,0.1881929337978363,0.6377881169319153,0.5658491849899292,0.981285810470581,1.0,1.0
गले मिलना,to embrace warmly (reconciliation),to meet at the neck (embrace),to hug it out,-1.0061460733413696,-0.5391122102737427,-0.7059094905853271,0.4067933261394501,0.6255054473876953,0.9650929570198059,0.0,0.0
दिमाग में कील ठोकना,to insist hard on a point,to hammer a nail into the brain,to drive the point home,-0.6124264597892761,-0.02062610164284706,-0.45255252718925476,0.4950040876865387,0.5416699051856995,0.9753040671348572,0.0,0.0
"अंधा क्या चाहे, दो आँखें",people desire what they lack most,what does a blind person want—two eyes,What would a blind person want but eyes?,0.14364638924598694,0.202816903591156,-0.2261400818824768,0.5219792723655701,0.5190901160240173,0.9678512811660767,0.0,1.0
अंधेरे में रखा जाना,to be kept uninformed,to be kept in darkness,to be kept in the dark,-0.29976406693458557,-0.31379005312919617,-0.3805380165576935,0.7662246823310852,0.7329102158546448,0.9698516130447388,1.0,1.0
चेहरा उतरना,to be sad or disappointed,the face to fall,to be crestfallen,-0.7654968500137329,-0.6449254751205444,-0.6582171320915222,0.40582725405693054,0.4460849463939667,0.977324903011322,0.0,0.0
दिल में आग लगाना,to provoke jealousy or passion,to set fire in the heart,to set someone's heart on fire,-0.025935392826795578,-0.21300452947616577,-0.1453126072883606,0.5490208864212036,0.43042895197868347,0.9786566495895386,1.0,1.0
घड़ी-घड़ी रंग बदलना,to be fickle,to change color every hour-hour,to change one's mind every five minutes,-0.08111415803432465,-0.1153445690870285,-0.5380949378013611,0.47731342911720276,0.4391959011554718,0.9597285389900208,1.0,1.0
अक्ल घास चरने जाना,to act utterly foolish,the intellect goes to graze grass,to act like a complete idiot,-0.7128077149391174,-0.725189745426178,-0.9169872999191284,0.6887707114219666,0.4433124363422394,0.9660596251487732,1.0,1.0
दिल देना और लेना,to love and reciprocate,to give and take the heart,To love and be loved,-0.17066487669944763,-0.2682681381702423,-0.09875242412090302,0.7314203381538391,0.6002236008644104,0.9843500256538391,1.0,1.0
दिमाग ठप्प होना,to have a mental block,for the brain to be shut down,My mind went blank.,0.37984538078308105,-0.23505133390426636,-0.09489662945270538,0.6852197051048279,0.7127623558044434,0.9799945950508118,1.0,0.0
खून का रिश्ता निभाना,to uphold family ties,to uphold a blood relationship,stand by one's family,-0.2893815338611603,-0.13710077106952667,0.06249135360121727,0.5808395147323608,0.7247360348701477,0.9873321652412415,0.0,0.0
दिमाग की नस दबना,to lose calm badly,for the brain’s vein to be pressed,to blow one's top,-0.906593918800354,-0.48498615622520447,-0.559951663017273,0.4376402199268341,0.4261251389980316,0.9686510562896729,0.0,1.0
घूम-फिरकर वहीं आना,to end up at the same point,to go round and come back there,End up back where you started.,-0.5076403021812439,-0.6242988109588623,-0.7397213578224182,0.6819872260093689,0.5546704530715942,0.9747070074081421,1.0,1.0
जान पर खेलना,to act fearlessly or take great risks,to play with one’s life,to put one's life on the line,0.08271066844463348,0.08202774822711945,-0.017113812267780304,0.6531050205230713,0.4744392931461334,0.9693490862846375,1.0,1.0
दिल पर राज करना,to rule someone’s heart,to rule over the heart,to win someone's heart,0.08337758481502533,-0.37902817130088806,0.08488540351390839,0.8965539336204529,0.7485820055007935,0.9804896116256714,1.0,1.0
चक्कर काटना,to make repeated rounds (bureaucracy),to cut circles,to run around in circles,-0.8410449624061584,-0.7590587139129639,-0.7289581894874573,0.6038190722465515,0.4679754078388214,0.9708681702613831,0.0,1.0
अंधे को सूरज दिखाना,to tell something obvious,to show the sun to a blind person,You're stating the obvious.,-0.383865088224411,0.08900228142738342,-0.4376719295978546,0.6192910671234131,0.5784014463424683,0.9817482829093933,0.0,1.0
आसमान पर चढ़ना,to be proud or overconfident,to climb onto the sky,to get a big head,-0.722167432308197,0.24961592257022858,-0.5302187204360962,0.4049629867076874,0.46542611718177795,0.9769236445426941,0.0,0.0
दाँत दिखाना-न दिखाना,to mock or avoid mocking,to show the teeth—or not show,To bare one's teeth—or not.,-0.5212180018424988,-0.21685431897640228,-0.7861338257789612,0.4414443075656891,0.48401856422424316,0.9687302112579346,0.0,0.0
अंधे को रास्ता दिखाना,to guide the clueless,to show the path to the blind,show someone the ropes.,-0.1753784716129303,0.29599592089653015,-0.10533295571804047,0.6144730448722839,0.749858558177948,0.9652249813079834,0.0,0.0
चक्की में पिसना,to be crushed by circumstances,to be ground in a mill,To be ground down by life.,-0.9366987347602844,-0.9512700438499451,-0.6693761944770813,0.6079815030097961,0.4284840524196625,0.9723238945007324,1.0,1.0
दिल पर बोझ होना,to feel guilt or heaviness,to have a burden on the heart,to have a heavy heart,-0.3228038251399994,-0.07046303153038025,-0.08335927128791809,0.5384643077850342,0.6211839914321899,0.9651735424995422,0.0,0.0
दिमाग में खिचड़ी पकना,to overthink randomly,khichdi cooking in the mind,My head's all over the place.,-0.455291748046875,-0.6243439316749573,-0.6023319959640503,0.5132850408554077,0.42421022057533264,0.9601361751556396,1.0,1.0
अंधेरे में बैठना,to stay in ignorance,to sit in darkness,to remain in the dark,-0.0060372911393642426,0.030881833285093307,-0.04246310517191887,0.8535943627357483,0.8151740431785583,0.9807891845703125,0.0,1.0
अक्ल का दुश्मन,a fool who avoids wisdom,enemy of wisdom,An enemy of common sense,0.17756091058254242,-0.03230040892958641,-0.2219361811876297,0.6512605547904968,0.6220860481262207,0.9768952131271362,1.0,1.0
दाँत भींचना,to endure silently,to clench the teeth,grit one's teeth,-0.12748751044273376,-0.2748366892337799,-0.8200274109840393,0.35052964091300964,0.4324936866760254,0.9832072854042053,1.0,0.0
"चौबे जी छब्बे बने, दुबे बने न",to aim higher and lose what you had,"Mr. Choubey became ‘Chhabbe’, (yet) didn’t become Dubey",He reached for more and lost what he had.,-0.6919839978218079,-0.4151604473590851,-0.8328844904899597,0.7211491465568542,0.37135642766952515,0.9405079483985901,0.0,1.0
दाँत लगना,to become accustomed (badly),for the teeth to catch,to get hooked on it,-0.8075136542320251,-0.7123326063156128,-0.970187783241272,0.5396400094032288,0.40428048372268677,0.9703469276428223,0.0,1.0
अंधा धुन में लगे रहना,to do something mindlessly,to remain stuck in a blind fixation,To be blindly fixated.,-0.1838366836309433,0.02266111969947815,-0.4593968093395233,0.5101431012153625,0.5019420981407166,0.9703838229179382,0.0,1.0
दिमाग का दही बनाना,to confuse someone completely,to make the brain into curd,to mess with someone's head,-0.506605863571167,-0.5497761368751526,-0.5541134476661682,0.4905907213687897,0.4026758670806885,0.9772723317146301,1.0,1.0
अंधेरे में सुई खोजना,to attempt the impossible,to search for a needle in the dark,It's like looking for a needle in a haystack.,0.10618118941783905,-0.20378229022026062,-0.5184459090232849,0.4015313684940338,0.4948500096797943,0.9704042077064514,1.0,0.0
दाँतों तले उंगली दबाना,to be very surprised,to press a finger under the teeth,to be taken aback,-1.01799738407135,0.16586536169052124,-0.9555948376655579,0.5533428192138672,0.4165695607662201,0.9777898788452148,0.0,1.0
दिमाग खपाना,to think very hard,to expend/wear out the brain,to rack one's brains,-0.7545840740203857,-0.8198888897895813,-0.4135740101337433,0.4340983033180237,0.4175381064414978,0.9759488701820374,1.0,1.0
अंधे के हाथ तिलक लगना,rare stroke of luck,a tilak falls upon a blind man’s hand,a stroke of luck,-0.5334800481796265,-0.35969772934913635,-0.5073598623275757,0.899966299533844,0.4463500678539276,0.9826410412788391,0.0,1.0
चूँ भी न करना,to not utter a word,to not utter even ‘choo’,not say a word,-0.2263219952583313,-0.6362524628639221,-0.41313865780830383,0.8525892496109009,0.7600269913673401,0.9730740189552307,1.0,1.0
दाँत की नोक पर रखना,to remember exactly,to keep on the tip of the tooth,remember it to a T,-0.9146717190742493,-0.18283405900001526,-0.6485389471054077,0.5746904015541077,0.5061014890670776,0.9753892421722412,0.0,1.0
पसीना रोकना,to relieve effort,to stop sweat,to take a breather,-0.23969852924346924,-0.41784217953681946,-0.47982513904571533,0.5383152961730957,0.6018219590187073,0.9858272671699524,1.0,0.0
चोली-दामन का साथ,inseparable relationship,the companionship of blouse and veil,Joined at the hip.,-0.6990833878517151,-0.18147721886634827,-0.6088210940361023,0.3861372768878937,0.4172447621822357,0.973988950252533,0.0,0.0
दिमाग लगाना ज़रूरी है,to use common sense,it is necessary to apply the brain,You need to use your head.,-0.02781634032726288,-0.5041815638542175,0.009822208434343338,0.6735833287239075,0.5762994289398193,0.9878528714179993,1.0,1.0
जुबान की मिठास,sweetness of speech,sweetness of the tongue,sweet talk,-0.03739564120769501,0.0170033760368824,-0.024145208299160004,0.783871591091156,0.6172982454299927,0.9817237854003906,0.0,1.0
दाँत-काटे का बैर,deadly enmity,tooth-bitten enmity,a deadly feud,-0.3648752272129059,-0.8655398488044739,-0.6233379244804382,0.6398051381111145,0.5830804705619812,0.9819652438163757,1.0,1.0
अंधे के हाथ में दीपक,a resource wasted on the incapable,a lamp in a blind person’s hand,Like giving a lamp to a blind man.,0.3399374186992645,0.3815707862377167,-0.3578663170337677,0.4645649492740631,0.46973636746406555,0.9682146906852722,0.0,0.0
छोटा मुँह बड़ी बात,big talk from a small person,"small mouth, big talk",Don't talk above your station.,-0.6602848768234253,0.30775320529937744,-0.032898493111133575,0.501639723777771,0.7965695858001709,0.9725320935249329,0.0,0.0
मुँह में ज़ुबान नहीं,to be timid or silent,no tongue in the mouth,tongue-tied,-0.598880410194397,-0.13114869594573975,-0.47503194212913513,0.36568590998649597,0.4003639221191406,0.9828420877456665,0.0,0.0
अंधा ऊँट सवारी करना,to take foolish risks blindly,to ride a blind camel,to take a leap in the dark,-0.6376112103462219,-0.303823858499527,-0.3024141788482666,0.5287965536117554,0.3834918141365051,0.974276065826416,0.0,1.0
पेट में चूहे कूदना,to be extremely hungry,mice jumping in the stomach,I'm starving.,-0.5555920600891113,-0.1653599739074707,-0.9558519124984741,0.567723274230957,0.4051167666912079,0.970809817314148,0.0,1.0
जुबान पर ताला लगाना,to keep one’s mouth shut,to put a lock on the tongue,Keep your mouth shut.,-0.027277331799268723,-0.14112742245197296,-0.23771384358406067,0.8734050393104553,0.6343652009963989,0.9750430583953857,1.0,1.0
मुँह पर बोलना,to speak directly,to speak on the face,tell someone to their face,-0.3490229547023773,-0.03494815155863762,-0.05546252056956291,0.5407423973083496,0.7453893423080444,0.9828093647956848,0.0,0.0
साँस लेना,to feel relieved after hard work,to take a breath,breathe a sigh of relief,0.18934893608093262,0.20825786888599396,-0.183607280254364,0.5602467060089111,0.5309279561042786,0.9661266207695007,0.0,1.0
जुबान देना और निभाना,to keep a promise,to give one’s word and keep it,Keep your word.,0.26114875078201294,0.36268189549446106,0.13969680666923523,0.7851426601409912,0.7536870241165161,0.9817520380020142,0.0,1.0
अंधा राजा प्रजा अंधी,leader and followers both foolish,"blind king, subjects blind",The blind leading the blind.,-0.27301648259162903,0.031514972448349,0.13692152500152588,0.5699999928474426,0.630957841873169,0.9785045385360718,0.0,0.0
जुबान की धार,sharpness of words,the edge/blade of the tongue,a sharp tongue,-0.11227217316627502,-0.434719443321228,-0.17395281791687012,0.5327960252761841,0.41765037178993225,0.9771549105644226,1.0,1.0
मुँह मीठा कराना,to celebrate success with sweets,to make the mouth sweet,celebrate with sweets,-0.22216124832630157,-0.37005549669265747,-0.2714034616947174,0.8821161985397339,0.6070532202720642,0.970621645450592,1.0,1.0
जुबान की कसम,a solemn vow,oath of the tongue,I give you my word.,-0.13475832343101501,-0.17162582278251648,-0.5002139210700989,0.4785928428173065,0.5725001096725464,0.9870703220367432,1.0,0.0
अंधे के भाग्य में चमक,to get lucky unexpectedly,a sparkle in the blind man’s fate,a stroke of luck,-0.09917651116847992,-0.36652055382728577,-0.41798532009124756,0.703831136226654,0.4721129238605499,0.9818705916404724,1.0,1.0
अंधा बांटे रेवड़ी,to favor one’s own people,a blind man distributes sweets,to play favorites,-0.8607367873191833,-0.1693311333656311,-0.8276455402374268,0.5490216016769409,0.510673999786377,0.9684153199195862,0.0,1.0
नाक कटना,to lose honor,for the nose to be cut,to lose face,-1.003786325454712,-0.5271676182746887,-1.0049570798873901,0.6706436276435852,0.5344581007957458,0.9799399971961975,0.0,1.0
जुबान को ताला,to keep silent,a lock to the tongue,Keep your mouth shut.,0.24958691000938416,-0.28635796904563904,-0.355106920003891,0.6608009934425354,0.4510383605957031,0.9876851439476013,1.0,1.0
अंधेरे में रोशनी फैलाना,to spread awareness among the ignorant,to spread light in the darkness,to enlighten people,-0.1796540915966034,0.3431212902069092,0.15207591652870178,0.714042603969574,0.7301234006881714,0.9772723317146301,0.0,0.0
खून खौल जाना,to boil with rage,for the blood to boil,My blood boiled.,0.22400125861167908,-0.1545596867799759,-0.45538657903671265,0.7404260635375977,0.7921068072319031,0.978839099407196,1.0,0.0
अंधे को रास्ता न सूझना,to be completely lost,for a blind person not to perceive the path,to be completely at sea,-0.7505114674568176,-0.04277371987700462,-0.7360925674438477,0.5677018761634827,0.49577513337135315,0.9794778227806091,0.0,1.0
जुबान सरकना,to slip of the tongue,for the tongue to slip,It slipped out.,-0.9094519019126892,-0.5551735758781433,-0.5537207722663879,0.48336419463157654,0.8016347885131836,0.9435350298881531,0.0,0.0
खून सूख जाना,to be terrified or horrified,for the blood to dry up,My blood ran cold.,0.20812790095806122,0.06997355818748474,-0.8888884782791138,0.5107561349868774,0.442533940076828,0.9654639363288879,1.0,1.0
पसीने-पसीने होना,to be drenched with effort,to become sweat-sweat (drenched in sweat),to be drenched in sweat,-0.4683319628238678,-0.4874242842197418,-0.6528394818305969,0.8267160058021545,0.5947322249412537,0.9521282315254211,1.0,1.0
जान हथेली पर लेकर फिरना,to live riskily,to carry one’s life on the palm,to live on the edge,-0.3234478831291199,-0.27695411443710327,-0.6267169117927551,0.6759849190711975,0.47399839758872986,0.9818549752235413,0.0,1.0
नाक ऊँची करना,to make someone proud,to raise the nose high,to give someone a big head,-0.5828040838241577,0.2506667375564575,-0.4182407259941101,0.4936754107475281,0.49980536103248596,0.9786108136177063,0.0,0.0
जान पर बन आना,to be in grave danger,to come upon the life,To have one's life on the line.,-0.5297411680221558,-0.8580053448677063,-0.8023048639297485,0.5796311497688293,0.5124640464782715,0.9671890139579773,1.0,1.0
जुबान कसना,to rebuke harshly,to tighten the tongue,to give someone a tongue-lashing,-0.6884118914604187,-0.19295555353164673,-0.8984016180038452,0.4411471486091614,0.43637052178382874,0.9674972295761108,0.0,1.0
अंधे को हाथ का सहारा,a small help to someone in need,the hand’s support for a blind person,a helping hand,-0.44046738743782043,-0.2505667507648468,0.019472718238830566,0.5742425918579102,0.5593631267547607,0.9653412103652954,0.0,1.0
नाक बचाना,to save face,to save the nose,save face,-0.056588511914014816,-0.2821682393550873,-0.2800474762916565,0.9485266804695129,0.8231395483016968,0.9886212348937988,1.0,1.0
जेब ढीली करना,to spend money,to loosen the pocket,to loosen one's purse strings,-0.4380333125591278,-0.6614444255828857,-0.7743523120880127,0.49362823367118835,0.5405316352844238,0.9776221513748169,1.0,0.0
अंधा प्रेम करना,to love without reason,to love blindly,to love blindly,0.2729749381542206,0.2729749381542206,0.05573772266507149,0.8246858716011047,0.8246858716011047,0.982261598110199,0.0,0.0
जेब काटना,to pickpocket / cheat,to cut the pocket,to pick someone's pocket,-0.5357694625854492,-0.4781007170677185,-0.7318600416183472,0.4943021237850189,0.49708476662635803,0.9783537983894348,0.0,0.0
खून पीना,to exploit harshly,to drink blood,to bleed someone dry,-0.4488261640071869,0.013109367340803146,-0.7330780625343323,0.46688342094421387,0.4598732590675354,0.9631766676902771,0.0,1.0
जोर आज़माइश करना,to test strength,to do strength-testing,to test one's strength,-0.08086177706718445,-0.23999974131584167,-0.08899852633476257,0.8996474146842957,0.8578289151191711,0.9854817390441895,1.0,1.0
अंधे को सपने में रोशनी दिखना,to imagine impossible hope,light appearing in a blind man’s dream,to hope against hope,-0.7539651393890381,0.45537063479423523,-0.6244025230407715,0.6588227152824402,0.5280495285987854,0.9723889231681824,0.0,1.0
खून के आँसू रोना,to suffer painfully,to cry tears of blood,to suffer terribly,-0.7758610844612122,0.19912885129451752,-0.6478400230407715,0.7711814045906067,0.5145069360733032,0.9807913899421692,0.0,1.0
अंधे की लाठी,only source of dependence,a blind man’s staff,one's only lifeline,-0.8628280758857727,-0.4358445405960083,-0.8487140536308289,0.5200170874595642,0.4186025559902191,0.9724922776222229,0.0,1.0
पसीना चूना,to toil severely,for sweat to drip,to work yourself to the bone,-0.781348466873169,-0.3298530876636505,-0.7724781632423401,0.5992153882980347,0.5529909729957581,0.9747029542922974,0.0,1.0
नाक चढ़ाना,to act proudly,to raise the nose,to turn up one's nose.,-0.7387030720710754,-0.5385472178459167,-0.6977338194847107,0.404756098985672,0.49550577998161316,0.9754780530929565,0.0,0.0
नाक दबाना,to force acceptance,to press the nose,to force it down someone's throat,-0.37473466992378235,-0.5203375220298767,-0.4731934666633606,0.5269155502319336,0.4971705973148346,0.9843562841415405,1.0,1.0
जोर-शोर से करना,to do with great enthusiasm,to do with force and noise,do it with gusto,-0.015127945691347122,-0.27064070105552673,-0.3787550628185272,0.7646481990814209,0.5936154723167419,0.976116955280304,1.0,1.0
पसीना टपकना,to sweat profusely,for sweat to drip,to be sweating buckets,-0.6864982843399048,-0.2978303134441376,-0.4686641991138458,0.6364715695381165,0.7126834988594055,0.9772431254386902,0.0,0.0
अंधेरे में रहना,to be ignorant,to live/stay in darkness,to be in the dark,-0.26479852199554443,-0.12650009989738464,-0.6460471749305725,0.7292147874832153,0.6629127264022827,0.9835149049758911,0.0,1.0
कान खड़े करना,to become alert,to make the ears stand up,prick up one's ears,-0.4476871192455292,-0.4050804078578949,-0.26187050342559814,0.5040059685707092,0.611293375492096,0.9813748598098755,0.0,0.0
सीने में दर्द होना,to feel emotional pain,to have pain in the chest,to have a heavy heart,-0.6080842614173889,-0.04423855245113373,-0.2966715395450592,0.5595996975898743,0.649888277053833,0.9822400212287903,0.0,0.0
टेंट-टून बजना,to make a loud scene (colloq.),to go ‘tain-toon’ (clang loudly),to make a scene,-0.6736074686050415,-0.593412458896637,-0.5850836634635925,0.6729854345321655,0.5945173501968384,0.9726266860961914,0.0,1.0
कान में बात डालना,to inform secretly,to put the matter into the ear,whisper in someone's ear,-0.18708167970180511,-0.42659658193588257,-0.6268578171730042,0.4509136378765106,0.4729650616645813,0.967915952205658,1.0,0.0
कान में जूँ न रेंगना,to remain unaffected,not even a louse crawls in the ear,He didn't bat an eye.,-0.6983835697174072,-0.6384451985359192,-0.7870176434516907,0.49102339148521423,0.3271818459033966,0.9788268208503723,0.0,1.0
पसीना रोक देना,to relieve / cool down,to stop the sweat,to cool down,-0.2267698347568512,-0.16649353504180908,-0.31773754954338074,0.7624931335449219,0.6679316163063049,0.9885781407356262,0.0,1.0
अंधेरे में छिपाना,to conceal wrong deeds,to hide in the dark,to cover up wrongdoing,0.062384527176618576,0.05755774676799774,-0.15408116579055786,0.8401101231575012,0.6223262548446655,0.9760140180587769,1.0,1.0
सीने में साँप लोटना,to be eaten up by jealousy,for a snake to roll in the chest,to be eaten up with jealousy,-0.7884343266487122,-0.6864268779754639,-0.7630122303962708,0.9125273823738098,0.3878813683986664,0.9612142443656921,0.0,1.0
पैरों तले ज़मीन खिसकना,to be shocked or panicked,the ground slipping from under the feet,to have the rug pulled out from under you,-0.20028284192085266,0.06489693373441696,-0.6496594548225403,0.44753196835517883,0.4157739281654358,0.9710870385169983,0.0,1.0
अंधे की लकड़ी,someone completely dependent on another,the blind man’s stick,a hanger-on,-1.0201915502548218,-0.5667371153831482,-0.5090307593345642,0.33185532689094543,0.39979419112205505,0.9757190942764282,0.0,0.0
पैर उखड़ना,to lose stability,for the feet to get uprooted,to lose one's footing,-0.6085836887359619,-0.624406635761261,-0.7108209133148193,0.7637343406677246,0.5617449879646301,0.984192430973053,1.0,1.0
डंका पीटना,to announce loudly,to beat the kettle-drum,to trumpet,-0.6327416300773621,-0.6463512182235718,-0.6227667927742004,0.5293404459953308,0.4285852611064911,0.9675585627555847,1.0,1.0
सीने-से-लगाना,to embrace warmly,to press to the chest,to hold someone close,-0.5157687067985535,-1.0113695859909058,-0.7623921632766724,0.5630995631217957,0.43440482020378113,0.963903546333313,1.0,1.0
अंधा रेवड़ी बाँटे,favoring without fairness,the blind (man) distributes sweets,playing favorites,-0.6253724694252014,-0.32866084575653076,-0.5801665186882019,0.4518074095249176,0.4603009521961212,0.9738840460777283,0.0,0.0
अंधेरे में रास्ता ढूँढना,to act without clear plan,to find a path in the dark,feel your way in the dark,-0.06328938901424408,0.013120297342538834,-0.10084927082061768,0.5097610354423523,0.6201756000518799,0.9815036654472351,0.0,0.0
ढिंढोरा पीटना,to brag publicly,to beat the public drum,to toot your own horn,-0.7288419008255005,-0.5946823954582214,-0.608244776725769,0.4170258641242981,0.5342608094215393,0.9731038212776184,0.0,0.0
अंधे की किस्मत,blind luck / chance success,the blind man’s luck,blind luck,-0.4367001950740814,-0.06751872599124908,-0.5340958833694458,0.8885524868965149,0.6974953413009644,0.9822089076042175,0.0,1.0
ठाठ से रहना,to live in style,to live with pomp,live in style,-0.16450077295303345,-0.42745572328567505,-0.31806889176368713,0.9190480709075928,0.6428276896476746,0.9807385802268982,1.0,1.0
सीने में धुआँ उठना,to smolder with anger,for smoke to rise in the chest,to seethe with anger,-0.6436888575553894,-0.03537226840853691,-0.3792380690574646,0.6988938450813293,0.6258261203765869,0.9772051572799683,0.0,1.0
हाथ बाँधकर बैठना,to stay idle or helpless,to sit with hands tied,to sit with your hands tied,0.0607759989798069,0.07645423710346222,-0.37391892075538635,0.6184682250022888,0.652509868144989,0.9773159623146057,0.0,0.0
सीना-जोरी करना,to browbeat,to do chest-force (browbeating),to strong-arm someone,-0.4880082309246063,-0.49983474612236023,-0.884259045124054,0.5496754050254822,0.5571708083152771,0.9508387446403503,1.0,0.0
ढील देना,to be lenient,to give slack,Cut someone some slack.,-0.5297516584396362,-0.21582534909248352,-0.2851872146129608,0.5127809047698975,0.6538522839546204,0.9863499999046326,0.0,0.0
तारीफ़ के पुल बाँधना,to heap praises,to build bridges of praise,to heap praise on someone,-0.21118219196796417,-0.3394586741924286,-0.5647481679916382,0.7814737558364868,0.6295616030693054,0.9750263690948486,1.0,1.0
सीने में जलन होना,to feel envy,to have burning in the chest,to burn with envy,-0.4685124158859253,-0.354371041059494,-0.47609743475914,0.7082945704460144,0.49450644850730896,0.9824604392051697,0.0,1.0
अंधे को रंग दिखाना,to try to explain the unexplainable,to show color to a blind person,It's like trying to explain color to a blind person.,0.43102192878723145,0.18339434266090393,-0.3712197244167328,0.6222165822982788,0.481820285320282,0.9608535170555115,1.0,1.0
"अंधे का नाम सुना, चेहरा नहीं देखा",heard about but never met,"heard the name, did not see the face","I've heard of him, but I've never met him.",-0.006636131554841995,0.28349798917770386,0.1289081573486328,0.7745525240898132,0.7748926281929016,0.9899774193763733,0.0,0.0
"अंधा क्या देखे, दो आँखें",one always desires what they lack,what can a blind see—(he needs) two eyes,People always want what they don't have.,-0.3023287057876587,-0.0619489811360836,-0.3640950322151184,0.7377505302429199,0.46930044889450073,0.9560689330101013,0.0,1.0
हाथ उठाना,to hit or bless,to raise the hand,to lay a hand on someone,-0.19455644488334656,-0.049345482140779495,-0.703102171421051,0.5920568108558655,0.5694708228111267,0.9770139455795288,0.0,1.0
